"YOU";"You"
"AND";"and"
"COREMESSAGE";"Message"
"CORECOMMENT";"Comment"
"CORESHARE";"Share"
"CORELIKE";"Like"
"COREUNLIKE";"Unlike"
"CORELIKEC";"Like"
"COREUNLIKEC";"Unlike"
"COREREPLY";"Reply"
"Report";"Report"
"Delete";"Delete"
"Edit";"Edit"
"Add";"Add"
"Edit";"Edit"
"Remove";"Remove"
"Sticker Store";"Sticker Store"
"Find new stickers to send to friends";"Find new stickers to send to friends"
"No Stickers to Show";"No Stickers to Show"
"View More";"View More"
"Love";"Love"
"Sad";"Sad"
"Angry";"Angry"
"Haha";"Haha"
"WOW";"Wow"
"Attach 1 or more Photos";"Attach 1 or more Photos"
"Attach 1 or more Videos";"Attach 1 or more Videos"
"Post an Emoticon or a Sticker";"Post an Emoticon or a Sticker"
"Post Comment";"Post Comment"
"%s comment";"%s comment";"%s comments"
"Delete Comment?";"Delete Comment?"
"Delete Feed?";"Delete Feed?"
"Are you sure that you want to delete this comment? This action cannot be undone.";"Are you sure that you want to delete this comment? This action cannot be undone."
"This feed will be deleted and you won't be able to find it anymore. You can also edit this feed, if you just want to change something.";"This feed will be deleted and you won't be able to find it anymore. You can also edit this feed, if you just want to change something."
"Delete";"Delete"
" or ";" or "
"Post Reply";"Post Reply"
"Newest";"Newest"
"Oldest";"Oldest"
"Replied";"Replied"
"Liked";"Liked"
"Facebook";"Facebook"
"Twitter";"Twitter"
"Google Plus";"Google Plus"
"Linkedin";"Linkedin"
"Share on %s";"Share on %s"
"%s mutual friend";"%s mutual friend";"%s mutual friends"
"Wall Smilies";"Wall Smilies"
"Search stickers";"Search stickers"
"The action you are looking for does not exist.";"The action you are looking for does not exist."
"Missing Image";"Missing Image"
"Translate";"Translate"
"Remove Preview";"Remove Preview"
"Write a comment...";"Write a comment..."
"No stickers in this category.";"No stickers in this category."

"ACTIVITY_TYPE_COMMENT_TAGGED_ITEM";"When someone tagged your content"
"ACTIVITY_TYPE_COMMENT_TAGGEDREPLY_PEOPLE";"When someone mention me in a reply on comment."
"ACTIVITY_TYPE_COMMENT_TAGGEDREPLY_P";"When someone tagged me on comment Reply post."
"ACTIVITY_TYPE_COMMENT_TAGGED_PEOPLE";"When someone mention me in a comment."
"ACTIVITY_TYPE_ACTIVITY_REACTED";"When someone react to your post."
"ACTIVITY_TYPE_ACTIVITY_SCHEDULED_LIVE";"When your scheduled post is live."
"ACTIVITY_TYPE_ACTIVITY_SCHEDULED_LI";"When someone schedule post live."
"ACTIVITY_TYPE_ACTIVITY_TAGGED_PEOPLE";"When someone tagged you in post."
"ACTIVITY_TYPE_COMMENT_TAGGED_PEOPL";"When someone tagged me in post."
"ACTIVITY_TYPE_COMMENT_REPLYCOMMENT";"When someone reply comment"
"ACTIVITY_TYPE_FAVOURITE";"When someone favourite your content"

"{item:$subject} reacted {var:$reactionTitle} to your {item:$object:$label}.";"{item:$subject} reacted {var:$reactionTitle} to your {item:$object:$label}."
"{item:$object} mention you in a {var:$commentLink}.";"{item:$object} mention you in a {var:$commentLink}."
"{item:$object} mention you in a {var:$commentLink} on comment.";"{item:$object} mention you in a {var:$commentLink} on comment."
"Post a Sticker";"Post a Sticker"
"Post GIF";"Post GIF"
"Post Emojis";"Post Emojis"
"Update Your Status";"Update Your Status"
"Sticker Tags";"Sticker Tags"
"Comment Sorting Order";"Comment Sorting Order"
"Choose the default comments order in which you want to show the comments on your site. Users can change the comments order from the comments section.";"Choose the default comments order in which you want to show the comments on your site. Users can change the comments order from the comments section."
"Reverse chronological (Newest)";"Reverse chronological (Newest)"
"Chronological (Oldest)";"Chronological (Oldest)"
