"Required Parameters missing.";"Required Parameters missing."
"Facebook Login Currently disabled.";"Facebook Login Currently disabled."
"Database error, please try again later.";"Database error, please try again later."
"Please provide all mandatory fields.";"Please provide all mandatory fields."
"Invalid User";"Invalid User"
"Upload Limit Reach";"Upload Limit Reach"
"Error Uploading file";"Error Uploading file"
"You don''t have permission to access the resource.";"You don''t have permission to access the resource."
"Form Validation Fail";"Form Validation Fail"
"Your access token revoked by admin. Please contact admin for further details.";"Your access token revoked by admin. Please contact admin for further details."
"Custom Url already taken, choose different.";"Custom Url already taken, choose different."
"Invalid Request";"Invalid Request"
"You cannot delete this item because it has been removed.";"You cannot delete this item because it has been removed."
"This activity item has been removed.";"This activity item has been removed."
"Comment has been deleted";"Comment has been deleted"
"Comment deleted successfully.";"Comment deleted successfully."
"You do not have the privilege to delete this comment";"You do not have the privilege to delete this comment"
"This user is not allowed to like this item";"This user is not allowed to like this item"
"This user is not allowed to unlike this item";"This user is not allowed to unlike this item"
"You cannot share this item because it has been removed.";"You cannot share this item because it has been removed."
"Activity feed shared Successfully.";"Activity feed shared Successfully."
"Does not exist member.";"Does not exist member."
"Feeling/Activity/Sticker";"Feeling/Activity/Sticker"
"Activity/Sticker";"Activity/Sticker"
"Sticker";"Sticker"
"All Updates";"All Updates"
"Sell Something";"Sell Something"
"Files";"Files"
"Posts You''ve Hidden";"Posts You''ve Hidden"
"Posts You''re Tagged In";"Posts You''re Tagged In"
"How Are You Feeling?";"How Are You Feeling?"
"Add a Sticker?";"Add a Sticker?"
"What Are You Doing?";"What Are You Doing?"
"Check In";"Check In"
"Tag People";"Tag People"
"Delete Feed";"Delete Feed"
"Unsave Feed";"Unsave Feed"
"Save Feed";"Save Feed"
"Disable Comment";"Disable Comment"
"Enable Comment";"Enable Comment"
"Hide Feed";"Hide Feed"
"Report Feed";"Report Feed"
"An error occured. Please try again after some time.";"An error occured. Please try again after some time."
"Not post";"Not post"
"Invalid data";"Invalid data"
"Activity Created Successfully.";"Activity Created Successfully."
"Save Photo";"Save Photo"
"Edit Photo";"Edit Photo"
"Delete Photo";"Delete Photo"
"Report Photo";"Report Photo"
"Make Profile Photo";"Make Profile Photo"
"Share Outside";"Share Outside"
"No photo created in this album yet.";"No photo created in this album yet."
"Upload Cover Photo";"Upload Cover Photo"
"Choose From Albums";"Choose From Albums"
"View Cover Photo";"View Cover Photo"
"Remove Cover Photo";"Remove Cover Photo"
"Add More Photos";"Add More Photos"
"Edit Settings";"Edit Settings"
"Delete Album";"Delete Album"
"Report Album";"Report Album"
"Album Edit successfully.";"Album Edit successfully."
"The selected albums have been successfully deleted.";"The selected albums have been successfully deleted."
"Photo uploaded successfully.";"Photo uploaded successfully."
"You have already uploaded the maximum number of albums allowed.";"You have already uploaded the maximum number of albums allowed."
"Album created successfully.";"Album created successfully."
"Tagmap missing";"Tagmap missing"
"Not authorized";"Not authorized"
"Tagged user removed successfully.";"Tagged user removed successfully."
"whoops! doesn\'t support tagging";"whoops! doesn\'t support tagging"
"Item Already Tagged";"Item Already Tagged"
"Tagmap was not recognised";"Tagmap was not recognised"
"User tagged successfully.";"User tagged successfully."
"Photo Deleted Successfully.";"Photo Deleted Successfully."
"Your cover photo updated successfully.";"Your cover photo updated successfully."
"The uploaded file is not supported or is corrupt.";"The uploaded file is not supported or is corrupt."
"Something went wrong, please try again later.";"Something went wrong, please try again later."
"Channel cover removed successfully.";"Channel cover removed successfully."
"Photo Description Updated successfully.";"Photo Description Updated successfully."
"No Category exists.";"No Category exists."
"No album created by you yet.";"No album created by you yet."
"No Photo Created Yet.";"No Photo Created Yet."
"No photo created by you yet in this album.";"No photo created by you yet in this album."
"Does not exist blogs.";"Does not exist blogs."
"Change Main Photo";"Change Main Photo"
"Edit Blog";"Edit Blog"
"Delete Blog";"Delete Blog"
"Report Blog";"Report Blog"
"You have already uploaded the maximum number of blogs allowed.";"You have already uploaded the maximum number of blogs allowed."
"Custom Url is not available. Please select another URL.";"Custom Url is not available. Please select another URL."
"Blog created successfully.";"Blog created successfully."
"Sesblog entry doesn't exist or not authorized to delete";"Sesblog entry doesn't exist or not authorized to delete"
"Your sesblog entry has been deleted.";"Your sesblog entry has been deleted."
"Blog Edit successfully.";"Blog Edit successfully."
"Invalid request method";"Invalid request method"
"Blog photo updated successfully.";"Blog photo updated successfully."
"You have no new updates.";"You have no new updates."
"%s year old";"%s year old";"%s years old"
"You are now friends with %s";"You are now friends with %s"
"An error has occurred.";"An error has occurred."
"No songs created yet.";"No songs created yet."
"No music album created yet.";"No music album created yet."
"Music album photo removed successfully.";"Music album photo removed successfully."
"Music album cover removed successfully.";"Music album cover removed successfully."
"Your cover photo updated successfully.";"Your cover photo updated successfully."
"The uploaded file is not supported or is corrupt.";"The uploaded file is not supported or is corrupt."
"Something went wrong, please try again later.";"Something went wrong, please try again later."
"Your music album photo updated successfully.";"Your music album photo updated successfully."
"Album doesn''t exists or not authorized to delete";"Album doesn''t exists or not authorized to delete"
"The selected albums has been deleted.";"The selected albums has been deleted."
"Rating done successfully.";"Rating done successfully."
"Music album edited successfully.";"Music album edited successfully."
"The selected playlist has been deleted.";"The selected playlist has been deleted."
"Playlist song deleted successfully.";"Playlist song deleted successfully."
"Upload Photo";"Upload Photo"
"View Profile Photo";"View Profile Photo"
"Remove Profile Photo";"Remove Profile Photo"
"The selected song has been deleted.";"The selected song has been deleted."
"Song photo removed successfully.";"Song photo removed successfully."
"Song cover removed successfully.";"Song cover removed successfully."
"Please enter a title or select a playlist.";"Please enter a title or select a playlist."
"This playlist already has this song. So, you can go to album view page and add songs in playlist.";"This playlist already has this song. So, you can go to album view page and add songs in playlist."
"Song has been successfully added to your playlist.";"Song has been successfully added to your playlist."
"This playlist already has this song.";"This playlist already has this song."
"Song edited successfully.";"Song edited successfully."
"Action perform successfully.";"Action perform successfully."
"There appears to be a problem logging in. Please reset your password with the Forgot Password link.";"There appears to be a problem logging in. Please reset your password with the Forgot Password link."
"Email sent successfully, please check your email.";"Email sent successfully, please check your email."
"The passwords you entered did not match.";"The passwords you entered did not match."
"Your profile edit successfully.";"Your profile edit successfully."
"Your profile photo updated successfully.";"Your profile photo updated successfully."
"Your photo has been removed.";"Your photo has been removed."
"mutual friend";"mutual friend"
"Single";"Single"
"In a Relationship";"In a Relationship"
"Engaged";"Engaged"
"Married";"Married"
"It''s Complicated";"It''s Complicated"
"In an Open Relationship";"In an Open Relationship"
"Widowed";"Widowed"
"Passwords did not match";"Passwords did not match"
"Old password did not match";"Old password did not match"
"Settings were successfully saved.";"Settings were successfully saved."
"Invalid param count";"Invalid param count"
"No artist created yet.";"No artist created yet."
"Sub Sub Category";"Sub Sub Category"
"No video uploaded yet.";"No video uploaded yet."
"Channel photo has been deleted successfully.";"Channel photo has been deleted successfully."
"No photo created in this channel yet.";"No photo created in this channel yet."
"Your location have been saved.";"Your location have been saved."
"Channel edited successfully.";"Channel edited successfully."
