"SEAO - Translator";"SEAO - Translator"
"Every phases has been translated properly !";"Every phases has been translated properly !"
"Phrase Key";"Phrase Key"
"Phrase Value";"Phrase Value"
"Language";"Language"
"Number Of Translated Chracters";"Number Of Translated Chracters"
"There are some problem, please check your google translator api key in Global Settings .";"There are some problem, please check your google translator api key in Global Settings ."
"Translate Language";"Translate Language"
"Language Translator";"Language Translator"
"Add Special Variable";"Add Special Variable"
"Add Custom Phrases";"Add Custom Phrases"
"Manage Missing Phrases";"Manage Missing Phrases"
"Translated Languages";"Translated Languages"
"Select the source language to which you want to translate?";"Select the source language to which you want to translate?"
"Choose the particular files or check all to select all files";"Choose the particular files or check all to select all files"
"Do you want to overrite the exisitng files?";"Do you want to overrite the exisitng files?"
"Do you want to overrite?";"Do you want to overrite?"

