"# menu items";"nan"
"_SITE_TITLE";"Réseau social"
"Home";"Maison"
"Members";"Membre"
"Layout";"Mise en page"
"Stats";"Statistique"
"Ads";"Publicité"
"Plugins";"Plugin"
"Settings";"Paramètre"
"Manage";"Gérer"
"Menu Editor";"Éditeur de menu"
"Language Manager";"Gestionnaire de langue"
"File & Media Manager";"Fichier et gestionnaire de média"
"Theme Editor";"Éditeur de thème"
"Layout Editor";"Rédacteur en chef"
"Log Browser";"Navigateur en journal"
"Server Information";"Informations sur le serveur"
"Referring URLs";"URL de référence"
"Site-wide Statistics";"Statistiques à l'échelle du site"
"Create New Campaign";"Créer une nouvelle campagne"
"Manage Ad Campaigns";"Gérer les campagnes publicitaire"
"Performance & Caching";"Performance et mise en cache"
"System Emails";"E-mails système"
"Friendship Settings";"Paramètres d'amitié"
"Spam & Banning Tools";"Outils de spam et d'interdiction"
"Activity Feed Settings";"Paramètres d'alimentation d'activité"
"Signup Process";"Processus d'inscription"
"Profile Questions";"Questions de profil"
"Locale Settings";"Paramètres des paramètres régionaux"
"Abuse Reports";"Rapports d'abu"
"Announcements";"Annonce"
"Networks";"Réseaux"
"Member Levels";"Niveaux des membre"
"Save Changes";"Enregistrer les modification"
"Contact Us";"Contactez-nou"
"An error occurred:";"Une erreur s'est produite:"
"Privacy Statement";"Déclaration de confidentialité"
"Terms of Service";"Conditions de service"
"# Common browse filters";"nan"
"Browse By";"Parcourir"
"Most Recent";"Le plus récent"
"Most Popular";"Le plus populaire"
"You have reached maximum limit of posting in %s. Try again after this duration expires.";"Vous avez atteint la limite maximale de publication en %s. Ressayez à nouveau après l'expiration de cette durée."
"# Common words";"nan"
"Delete";"Supprimer"
"or";"ou"
" or ";"ou"
"cancel";"Annuler"
"Cancel";"Annuler"
"Search";"Recherche"
"Success";"Succè"
"Description";"Description"
"Name";"Nom"
"member";"membre";"members"
"friendship";"amitié";"friendships"
"post";"poste";"posts"
"comment";"commentaire";"comments"
"Password";"Mot de passe"
"Login";"Se connecter"
"Remember Me";"Souviens-toi de moi"
"Email Address";"Adresse email"
"Message";"Message"
"Human Verification";"Vérification humaine"
"Please type the characters you see in the image.";"Veuillez taper les caractères que vous voyez dans l'image."
"Send Message";"Envoyer un message"
"Posted by %s";"Publié par %"
"%s update";"%s mise à jour";"%s updates"
"%s Update";"%s mise à jour";"%s Updates"
"updates";"mises à jour"
"0 Updates";"0 mises à jour"
"First";"D'abord"
"&#171; First";"& # 171; D'abord"
"Last";"Dernier"
"Last &#187;";"Dernier & # 187;"
"&#171; Previous";"& # 171; Précédent"
"Next &#187;";"Suivant & # 187;"
"More +";"Plus +"
"Copyright";"Droit d'auteur"
"Read More";"En savoir plu"
"Created %s by ";"Créé %s par"
"Post Comment";"Post commenter"
"%s comment";"%s Commentaire";"%s comments"
"%s Comment";"%s Commentaire";"%s Comments"
"%d hour ago";"%d il y a une heure";"%d hours ago"
"There was an error processing your request.  Please try again later.";"Il y a eu une erreur de traitement de votre demande.  Veuillez réessayer plus tard."
"View all %s comment";"Afficher tous les commentaires %";"View all %s comments"
"Like This";"Comme ça"
"Comment";"Commentaire"
"Unlike This";"Contrairement à ça"
"%s likes this";"%s aime ça";"%s like this"
"%s Like";"%s comme";"%s Likes"
"%s person likes this";"%s personne aime ça";"%s people like this"
"View previous comments";"Afficher les commentaires précédent"
"View more comments";"Voir plus de commentaire"
"View later comments";"Voir les commentaires ultérieur"
"View All Updates";"Afficher toutes les mises à jour"
"Mark All Read";"Marquez tout lire"
"You have no new updates.";"Vous n'avez pas de nouvelles mises à jour."
"Are you sure you want to delete this?";"Êtes-vous sûr de vouloir supprimer cela?"
"View All";"Afficher tout"

"# Forms";"nan"
"Report";"Rapport"
"Submit Report";"Soumettre le rapport"
"Do you want to report this?";"Voulez-vous signaler cela?"
"(select)";"(sélectionner)"
"Spam";"Courrier indésirable"
"Abuse";"Abu"
"Inappropriate Content";"Contenu inapproprié"
"Licensed Material";"Matériel sous licence"
"Other";"Autre"
"Add Link";"Ajouter le lien"
"Edit Profile Photo";"Modifier la photo du profil"
"Apply Changes";"Appliquer les modification"
" Loading...";"Chargement..."
"Are you sure you want to delete this link?";"Êtes-vous sûr de vouloir supprimer ce lien?"
"Delete Link";"Supprimer le lien"
"# Search";"nan"
"Please enter a search query.";"Veuillez saisir une requête de recherche."
"No results were found.";"Aucun résultat n'a été trouvé."
"%s result found";"%s Résultat trouvé";"%s results found"
"Whoops!";"Oups!"
"Page Not Found";"Page introuvable"
"Go Back";"Remonter"
"The page you have attempted to access could not be found.";"La page à laquelle vous avez tenté d'accéder n'a pas pu être trouvée."
"Private Page";"Page privée"
"You do not have permission to view this private page.";"Vous n'avez pas la permission de consulter cette page privée."
"That resource does not exist";"Cette ressource n'existe pa"
"Please sign in to continue.";"Veuillez vous connecter pour continuer."
"Like added";"Comme ajouté"
"Like removed";"Comme supprimé"
"Invalid request method";"Méthode de demande non valide"
"Comment deleted";"Commentaire supprimé"
"Invalid data";"Données non valide"
"The requested resource could not be found.";"La ressource demandée n'a pas pu être trouvée."
"You are not authorized to access this resource.";"Vous n'êtes pas autorisé à accéder à cette ressource."
"Please sign in to continue..";"Veuillez vous connecter pour continuer."
"Whoops! Something went wrong!";"Oups! Quelque chose s'est mal passé!"
"Thank you for your feedback!";"Merci pour vos commentaires!"
"Invalid Method";"Méthode non valide"
"Invalid data";"Données non valide"
"Link created";"Lien créé"
"Link doesn't exists or not authorized to delete";"Le lien n'existe pas ou non autorisé à supprimer"
"Link has been deleted.";"Le lien a été supprimé."
"Birthdays must include a month and a date.";"Les anniversaires doivent inclure un mois et une date."
"Please select a date from the calendar";"Veuillez sélectionner une date dans le calendrier"
"Please select a time from the dropdown";"Veuillez sélectionner une heure dans la liste déroulante"
"Please select AM or PM";"Veuillez sélectionner ou PM"
"AM/PM value selected without specifying a time";"Valeur AM / PM sélectionnée sans spécifier un temp"
"End time cannot be before start time";"L'heure de fin ne peut pas être avant l'heure de début"
"By %s";"Par %"
"...";""
"An error has occurred processing the request.  The target may no longer exist.";"Une erreur s'est produite en traitement de la demande.  La cible peut ne plus exister."
"Close";"Fermer"
",";""
"Sign In or %1$sJoin%2$s";"Connectez-vous ou %1$sjoin%2$"
"and";"et"
"# timestamps";"nan"
"now";"maintenant"
"in a few seconds";"en quelques seconde"
"a few seconds ago";"il y a quelques seconde"
"in %s minute";"en %s minute";"in %s minutes"
"%s minute ago";"%s il y a une minute";"%s minutes ago"
"in %s hour";"en %s heure";"in %s hours"
"%s hour ago";"%s il y a une heure";"%s hours ago"
"# timestamps";"nan"
"now";"maintenant"
"in a few sec";"Dans quelques seconde"
"a few sec";"quelques seconde"
"in %s min";"en %s min";"in %s min"
"%s min";"%s min";"%s min"
"in %s hour";"en %s heure";"in %s hours"
"%s hour";"%s heure";"%s hours"
"_ACTIVITY_ACTIONTYPE_LOGIN";"Se déconnecter"
"_ACTIVITY_ACTIONTYPE_LOGOUT";"Déconnexion"
"_ACTIVITY_ACTIONTYPE_NETWORK_JOIN";"Rejoindre un réseau"
"_ACTIVITY_ACTIONTYPE_POST";"Publier sur le profil de quelqu'un"
"_ACTIVITY_ACTIONTYPE_POST_SELF";"Publier une mise à jour de statut sur votre propre profil"
"_ACTIVITY_ACTIONTYPE_PROFILE_PHOTO_UPDATE";"Changer votre photo"
"_ACTIVITY_ACTIONTYPE_SIGNUP";"Signature"
"_ACTIVITY_ACTIONTYPE_STATUS";"Mettre à jour mon statut"
"_ACTIVITY_ACTIONTYPE_FIELDS_CHANGE_GENERIC";"Mise à jour de mon profil"
"_ACTIVITY_ACTIONTYPE_FRIENDS";"Quand je deviens ami avec quelqu'un"
"_ACTIVITY_ACTIONTYPE_FRIENDS_FOLLOW";"Quand je suis quelqu'un"
"_CORE_CONTACT_DESCRIPTION";"Si vous souhaitez nous poser une question directement, veuillez soumettre votre message avec le formulaire suivant."
"_CORE_HELP_CONTACT_MESSAGE";"Nom: %1$s
Courriel: %2$s
Informations sur les membres: (%3$s - %4$s)
IP: %5$s
Agent utilisateur: %6$s
Horodatage: %7$s
Message:
    %8$"
"_CORE_PRIVACY_STATEMENT";"Cette page contiendra l'énoncé de confidentialité de votre choix."
"_CORE_TERMS_OF_SERVICE";"Cette page contiendra les conditions d'utilisation de votre choix."
"You can no longer respond to this message because %1$s has blocked you.";"Vous ne pouvez plus répondre à ce message car %1$s vous a bloqué."
"# admin";"nan"
"Member Level Settings";"Paramètres de niveau des membre"
"Select Member Level";"Sélectionnez le niveau des membre"
"Public";"Publique"
"Default Level";"Niveau par défaut"
"Moderators";"Modérateur"
"Admins";"Administrateur"
"Superadmins";"Super administrateur"
"Options";"Option"
"Date";"Date"
"Views";"Vue"
"Owner";"Propriétaire"
"delete";"supprimer"
"Delete Selected";"Supprimer sélectionné"

"# admin stats";"nan"
"_CORE_ADMIN_STATS_CORE_VIEWS";"Pages vue"
"_CORE_ADMIN_STATS_USER_CREATIONS";"Inscription"
"_CORE_ADMIN_STATS_USER_LOGINS";"Signe"
"_CORE_ADMIN_STATS_MESSAGES_CREATIONS";"Messages privé"
