"Step %1$d";"Step %1$d"
"Request limit reached, please try again later";"Request limit reached, please try again later."

"Return to Admin Panel";"Return to Admin Panel"
"Package Manager";"Package Manager"
"Manage Packages";"Manage Packages"
"Packages are plugins, themes, mods, and other extensions that you can add
    to your social network.";"Packages are plugins, themes, mods, and other extensions that you can add
    to your social network."
	
"SocialEngine SDK";"SocialEngine SDK"
"The SocialEngine PHP SDK allows you to create packages for distribution.";"The SocialEngine PHP SDK allows you to create packages for distribution."
"More info: ";"More info: "
"See KB article";"See KB article"
"Create a Package";"Create a Package"
"Sets up bare-bones modules, widgets, and more for your local development
    environment.";"Sets up bare-bones modules, widgets, and more for your local development
    environment."
"Build Packages";"Build Packages"
"Turns your packages into files that are installable and ready for
    distribution.";"Turns your packages into files that are installable and ready for
    distribution."
	
"Manage Package Files";"Manage Package Files"
"Download package files you've built, combine packages, or delete ones you
    don't want.";"Download package files you've built, combine packages, or delete ones you
    don't want."

"Package(s) successfully created. Download below.";"Package(s) successfully created. Download below."
"Manage Package Files";"Manage Package Files"
"These are the built package files we found on your system at";"These are the built package files we found on your system at"
"temporary/package/sdk";"temporary/package/sdk"
"No packages were found.";"No packages were found."
"Combine";"Combine"
"Delete";"Delete"
"Build Packages";"Build Packages"
"These are the packages we found on your system. Choose the ones you want to
    build into distributable files.";"These are the packages we found on your system. Choose the ones you want to
    build into distributable files."
	
"Your package(s) have been built successfully.";"Your package(s) have been built successfully."
"No packages were found.";"No packages were found."
"Package";"Package"
"Version";"Version"
"Type";"Type"
"Author";"Author"
"Location:";"Location:"
"Description:";"Description:"
"More info";"More info"
"Build Packages";"Build Packages"
"Package File";"Package File"
"Date Built";"Date Built"
"Developer SDK";"Developer SDK"


"Import Tools";"Import Tools"
"Below is a list of supported import tools that can be utilized for importing your data into SocialEngine.";"Below is a list of supported import tools that can be utilized for importing your data into SocialEngine."
"Ning Import";"Ning Import"
"Transfer your data from a Ning Export to a new SocialEngine 4 Installation";"Transfer your data from a Ning Export to a new SocialEngine 4 Installation"
"phpFox Import";"phpFox Import"
"Transfer your data from a phpFox site to a new SocialEngine 4 Installation";"Transfer your data from a phpFox site to a new SocialEngine 4 Installation"
"SocialEngine 3 Import";"SocialEngine 3 Import"
"Transfer your data from a SocialEngine 3 installation to a new SocialEngine 4 installation";"Transfer your data from a SocialEngine 3 installation to a new SocialEngine 4 installation"

"Requirement and Dependency Check";"Requirement and Dependency Check"
"Double check the requirements and dependencies of your installed packages.";"Double check the requirements and dependencies of your installed packages."
"Search for Modified Files";"Search for Modified Files"
"Lists files that have been modified since installation. You can view a
      side-by-side diff of the files if you upload the original package.";"Lists files that have been modified since installation. You can view a
      side-by-side diff of the files if you upload the original package."
	  
"PHP Info";"PHP Info"
"Displays the results of the phpinfo() function.";"Displays the results of the phpinfo() function."
"Log Browser";"Log Browser"
"Allows viewing of error logs.";"Allows viewing of error logs."
"Adminer";"Adminer"
"Adminer is a MySQL database management utility, similar to phpMyAdmin.";"Adminer is a MySQL database management utility, similar to phpMyAdmin."
"Other Tools";"Other Tools"
"Logout";"Logout"

"Let's get started with installing your new packages. First, you will need to upload
  the packages you want to install. Click the 'Upload Packages' link below to select one or
  multiple packages from your computer to upload them to the server.";"Let's get started with installing your new packages. First, you will need to upload
  the packages you want to install. Click the 'Upload Packages' link below to select one or
  multiple packages from your computer to upload them to the server."
  
"Note: The packages are extracted on upload, so the progress bar will pause at 100% for
  up to several minutes (depending on the size of the package).";"Note: The packages are extracted on upload, so the progress bar will pause at 100% for
  up to several minutes (depending on the size of the package)."

"Add Packages";"Add Packages"
"Check All";"Check All"
"Uncheck All";"Uncheck All"

"Please wait until the upload finishes or while archives are extracted.";"Please wait until the upload finishes or while archives are extracted."
"Please upload or select a package.";"Please upload or select a package."
